knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
covariates,[],无协变量,RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.0851851851851851,0.0787908014796474,2.3978478320617413,0.2237521514629948,0.1540284360189573,0.4088050314465409,0.2324159021406727
covariates,['load'],+负荷,TimesFM,False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3286384976525822,0.6481481481481481,0.220125786163522,0.3411371237458194
covariates,['load'],+负荷,Toto2,False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.3333333333333333,0.5873015873015873,0.2327044025157232,0.336231884057971
covariates,['load'],+负荷,Chronos2,True,False,30,12.903181933244069,5.040638035489484,18.232897045719263,7.203496371512027,29.49815373856416,7.485621337940302,4.263783716040874,1.9178942386515507,0.7148148148148148,0.1476292997710537,0.8622134709382816,0.3170731707317073,0.4482758620689655,0.2452830188679245,0.3385490753911806
covariates,['load'],+负荷,SeasonalNaive,False,False,30,14.9651824845679,6.306300547703117,22.552636104834207,9.982589345145929,32.45960674050627,10.106983068995511,5.676103380285418,2.1747684455403267,0.8550925925925926,0.0947899001553845,1.0,0.3221884498480243,0.3117647058823529,0.3333333333333333,0.2882205513784461
covariates,['load'],+负荷,Theta,False,False,30,17.47603913508074,10.461927821552292,24.106348892690644,14.521522524188,37.75369134522823,10.812172662646976,6.458391911337347,4.274418416600633,0.8254629629629627,0.1574080882338217,1.1677798886249489,0.3571428571428572,0.3004291845493562,0.440251572327044,0.2860635696821516
covariates,['load'],+负荷,Toto,False,False,30,20.972478557588506,10.025885989484587,42.36197058628959,29.663262810832816,42.68795801959219,12.142139504170704,5.695399466301486,2.4353184199999256,0.8412037037037036,0.1166822814359463,1.4014181637420946,0.3287671232876712,0.3609022556390977,0.3018867924528302,0.3375959079283887
covariates,['load'],+负荷,ETS,False,False,30,25.52155688708636,12.58276832714454,30.34605530236824,14.651351970911495,73.65976649439345,38.59295439124998,8.31353727146916,5.036385215184781,0.7092592592592593,0.2286099672953399,1.705395635061864,0.328159645232816,0.2534246575342466,0.4654088050314465,0.2658092175777063
covariates,['load'],+负荷,LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.91890869117852,52.99742781736895,13.504705876191704,11.422255985124757,7.497855869055351,0.212962962962963,0.1306999464212324,1.799693134891032,0.2702702702702703,0.2369668246445497,0.3144654088050314,0.2395209580838323
covariates,['load'],+负荷,XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.26156067003912,11.024824476483454,14.760133865246797,4.788345485387886,0.0037037037037037,0.0079651159880024,1.9860202324875451,0.189406099518459,0.1271551724137931,0.3710691823899371,0.1858267716535433
covariates,['load'],+负荷,Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743298,59.19890227477421,14.681635918527425,11.20043244529072,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2137834036568213,0.1376811594202898,0.4779874213836478,0.1326923076923077
covariates,['load'],+负荷,RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.0851851851851851,0.0787908014796474,2.3978478320617413,0.2237521514629948,0.1540284360189573,0.4088050314465409,0.2324159021406727
covariates,"['load', 'temperature']",+负荷+温度,TimesFM,False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3286384976525822,0.6481481481481481,0.220125786163522,0.3411371237458194
covariates,"['load', 'temperature']",+负荷+温度,Chronos2,True,False,30,12.821459804446611,5.199175032229435,18.185989881220813,7.337307588450022,29.027482766242095,8.098879066799634,4.248819314734926,1.9719620127087183,0.7092592592592593,0.1423609229146603,0.8567526535455283,0.3196721311475409,0.4588235294117647,0.2452830188679245,0.3394625176803395
covariates,"['load', 'temperature']",+负荷+温度,Toto2,False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.3333333333333333,0.5873015873015873,0.2327044025157232,0.336231884057971
covariates,"['load', 'temperature']",+负荷+温度,SeasonalNaive,False,False,30,14.9651824845679,6.306300547703117,22.552636104834207,9.982589345145929,32.45960674050627,10.106983068995511,5.676103380285418,2.1747684455403267,0.8550925925925926,0.0947899001553845,1.0,0.3221884498480243,0.3117647058823529,0.3333333333333333,0.2882205513784461
covariates,"['load', 'temperature']",+负荷+温度,Theta,False,False,30,17.47603913508074,10.461927821552292,24.106348892690644,14.521522524188,37.75369134522823,10.812172662646976,6.458391911337347,4.274418416600633,0.8254629629629627,0.1574080882338217,1.1677798886249489,0.3571428571428572,0.3004291845493562,0.440251572327044,0.2860635696821516
covariates,"['load', 'temperature']",+负荷+温度,Toto,False,False,30,20.451177747289343,10.273218556944608,39.01360075418588,26.588174624753943,42.36495281347394,11.004842530683828,5.6166906924879365,2.4931185458650225,0.8412037037037037,0.1098120432477679,1.3665839202681695,0.3298969072164948,0.3636363636363636,0.3018867924528302,0.3219895287958115
covariates,"['load', 'temperature']",+负荷+温度,ETS,False,False,30,25.52155688708636,12.58276832714454,30.34605530236824,14.651351970911495,73.65976649439345,38.59295439124998,8.31353727146916,5.036385215184781,0.7092592592592593,0.2286099672953399,1.705395635061864,0.328159645232816,0.2534246575342466,0.4654088050314465,0.2658092175777063
covariates,"['load', 'temperature']",+负荷+温度,LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.91890869117852,52.99742781736895,13.504705876191704,11.422255985124757,7.497855869055351,0.212962962962963,0.1306999464212324,1.799693134891032,0.2702702702702703,0.2369668246445497,0.3144654088050314,0.2395209580838323
covariates,"['load', 'temperature']",+负荷+温度,XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.26156067003912,11.024824476483454,14.760133865246797,4.788345485387886,0.0037037037037037,0.0079651159880024,1.9860202324875451,0.189406099518459,0.1271551724137931,0.3710691823899371,0.1858267716535433
covariates,"['load', 'temperature']",+负荷+温度,Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743298,59.19890227477421,14.681635918527425,11.20043244529072,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2137834036568213,0.1376811594202898,0.4779874213836478,0.1326923076923077
covariates,"['load', 'temperature']",+负荷+温度,RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.0851851851851851,0.0787908014796474,2.3978478320617413,0.2237521514629948,0.1540284360189573,0.4088050314465409,0.2324159021406727
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Chronos2,True,False,30,10.676289268293498,3.915246585855664,15.970204614191353,6.3832667746624505,23.582593297378313,4.599888884746774,3.5469947348553457,1.4503299494820536,0.7402777777777779,0.1049905688494214,0.7134085587865627,0.4170212765957446,0.6447368421052632,0.3081761006289308,0.3931888544891641
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,TimesFM,False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3286384976525822,0.6481481481481481,0.220125786163522,0.3411371237458194
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Toto2,False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.3333333333333333,0.5873015873015873,0.2327044025157232,0.336231884057971
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,SeasonalNaive,False,False,30,14.9651824845679,6.306300547703117,22.552636104834207,9.982589345145929,32.45960674050627,10.106983068995511,5.676103380285418,2.1747684455403267,0.8550925925925926,0.0947899001553845,1.0,0.3221884498480243,0.3117647058823529,0.3333333333333333,0.2882205513784461
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Theta,False,False,30,17.47603913508074,10.461927821552292,24.106348892690644,14.521522524188,37.75369134522823,10.812172662646976,6.458391911337347,4.274418416600633,0.8254629629629627,0.1574080882338217,1.1677798886249489,0.3571428571428572,0.3004291845493562,0.440251572327044,0.2860635696821516
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Toto,False,False,30,19.602717487744485,9.21791474623885,37.95964765521402,36.323315005993145,41.377278590725794,9.433525730147972,5.457288156181919,2.2884248385727166,0.8365740740740739,0.1066031913115419,1.309888302929738,0.3309859154929577,0.376,0.2955974842767295,0.3346303501945525
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,ETS,False,False,30,25.52155688708636,12.58276832714454,30.34605530236824,14.651351970911495,73.65976649439345,38.59295439124998,8.31353727146916,5.036385215184781,0.7092592592592593,0.2286099672953399,1.705395635061864,0.328159645232816,0.2534246575342466,0.4654088050314465,0.2658092175777063
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.91890869117852,52.99742781736895,13.504705876191704,11.422255985124757,7.497855869055351,0.212962962962963,0.1306999464212324,1.799693134891032,0.2702702702702703,0.2369668246445497,0.3144654088050314,0.2395209580838323
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.26156067003912,11.024824476483454,14.760133865246797,4.788345485387886,0.0037037037037037,0.0079651159880024,1.9860202324875451,0.189406099518459,0.1271551724137931,0.3710691823899371,0.1858267716535433
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743298,59.19890227477421,14.681635918527425,11.20043244529072,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2137834036568213,0.1376811594202898,0.4779874213836478,0.1326923076923077
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.0851851851851851,0.0787908014796474,2.3978478320617413,0.2237521514629948,0.1540284360189573,0.4088050314465409,0.2324159021406727
