knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
context_len,336,336h(14天),Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743294,59.19890227477421,14.681635918527425,11.128894666633938,5.8360337095707395,0.8777777777777778,0.16103127012741264,2.1264809291257927,0.21378340365682133,0.13768115942028986,0.4779874213836478,0.12761993479273404
context_len,336,336h(14天),SeasonalNaive,False,False,30,14.965182484567901,6.306300547703117,22.552636104834207,9.982589345145927,32.45960674050627,10.106983068995513,5.671192096309077,2.175900304419233,0.8675925925925926,0.08963326438910953,1.0,0.3221884498480243,0.31176470588235294,0.3333333333333333,0.30810092961487384
context_len,336,336h(14天),ETS,False,False,30,23.359130787027972,14.485889199249819,27.947726261550816,16.25886639815583,66.36126607203099,25.198521988670464,7.802528919447568,6.165053908304532,0.7648148148148148,0.24176066002402827,1.5608984929596357,0.32765957446808514,0.24758842443729903,0.48427672955974843,0.2668067226890756
context_len,336,336h(14天),Theta,False,False,30,16.805700710814207,10.176690701315648,22.685026768048825,12.48496571849527,36.26894942348626,10.302455813493742,6.1483448425633105,3.822218712404305,0.8416666666666666,0.1656838304942362,1.1229866878098045,0.36641221374045807,0.3076923076923077,0.4528301886792453,0.3092269326683291
context_len,336,336h(14天),RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.08518518518518517,0.07879080147964743,2.3978478320617413,0.22375215146299487,0.15402843601895735,0.4088050314465409,0.23241590214067276
context_len,336,336h(14天),LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.918908691178522,52.99742781736895,13.504705876191705,11.422255985124757,7.497855869055351,0.212962962962963,0.13069994642123245,1.799693134891032,0.2702702702702703,0.23696682464454977,0.31446540880503143,0.23952095808383234
context_len,336,336h(14天),XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.261560670039124,11.024824476483454,14.760133865246795,4.788345485387886,0.0037037037037037034,0.00796511598800243,1.9860202324875451,0.18940609951845905,0.1271551724137931,0.3710691823899371,0.1858267716535433
context_len,336,336h(14天),TimesFM,False,False,30,11.91120588791223,5.500436018487075,17.268065300746386,7.86326992685177,27.415404492097775,8.750084179594028,3.9331085975395794,1.906637940299366,0.7925925925925926,0.12509941177235306,0.7959278745979254,0.32142857142857145,0.5538461538461539,0.22641509433962265,0.3656307129798903
context_len,336,336h(14天),Chronos2,False,False,30,12.075468605135692,4.8044874627443015,17.440539690411423,7.049511532138146,27.675621640876138,7.732486557762904,3.9954387731748353,1.8209420370345824,0.7296296296296296,0.15617985393899572,0.8069042003054702,0.3568464730290457,0.524390243902439,0.27044025157232704,0.34705882352941175
context_len,336,336h(14天),Toto,False,False,30,18.233884888622864,6.419893020046948,32.298608813248805,16.360287203901322,41.39689821340077,8.178280660594035,5.075243065320504,1.8140423941320918,0.8203703703703705,0.12794540802561943,1.2184204841755621,0.3153846153846154,0.40594059405940597,0.2578616352201258,0.33012379642365886
context_len,720,720h(30天),Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743294,59.19890227477421,14.681635918527425,11.903171468714811,5.587446124579523,0.8962962962962963,0.17442340834082187,2.1264809291257927,0.21378340365682133,0.13768115942028986,0.4779874213836478,0.12562132851333033
context_len,720,720h(30天),SeasonalNaive,False,False,30,14.965182484567901,6.306300547703117,22.552636104834207,9.982589345145927,32.45960674050627,10.106983068995513,5.764068244155237,2.0613750294745445,0.8851851851851851,0.08082118826074809,1.0,0.3221884498480243,0.31176470588235294,0.3333333333333333,0.29976019184652275
context_len,720,720h(30天),ETS,False,False,30,22.05837353152456,15.936890260825253,26.703704405893156,17.307006972166743,54.539011535771884,17.87700163516974,7.711399167365901,6.433403257233801,0.8055555555555557,0.2670136631266204,1.4739795892413046,0.3116883116883117,0.2376237623762376,0.4528301886792453,0.24860853432282004
context_len,720,720h(30天),Theta,False,False,30,17.09474031270692,11.111643058097508,22.479358612596627,12.529674203126723,36.3276529178313,12.864888967990945,6.2642034928603945,3.819909423562958,0.8486111111111112,0.20920650351055323,1.1423008259561833,0.35696821515892424,0.292,0.4591194968553459,0.26907630522088355
context_len,720,720h(30天),RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.08518518518518517,0.07879080147964743,2.3978478320617413,0.22375215146299487,0.15402843601895735,0.4088050314465409,0.23241590214067276
context_len,720,720h(30天),LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.918908691178522,52.99742781736895,13.504705876191705,11.422255985124757,7.497855869055351,0.212962962962963,0.13069994642123245,1.799693134891032,0.2702702702702703,0.23696682464454977,0.31446540880503143,0.23952095808383234
context_len,720,720h(30天),XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.261560670039124,11.024824476483454,14.760133865246795,4.788345485387886,0.0037037037037037034,0.00796511598800243,1.9860202324875451,0.18940609951845905,0.1271551724137931,0.3710691823899371,0.1858267716535433
context_len,720,720h(30天),TimesFM,False,False,30,11.708397884663242,5.300120211158919,17.025680759769497,7.63267488048518,26.843814656233466,8.300753461806933,3.8514686321530323,1.7049508686253327,0.8199074074074074,0.1158416227012924,0.7823758846066157,0.3243243243243244,0.5714285714285714,0.22641509433962265,0.360655737704918
context_len,720,720h(30天),Chronos2,False,False,30,12.190877784917383,4.972054947060579,17.469566997956612,7.123524365620078,27.975425217664075,7.871812577211726,3.9964296717722236,1.788188661952095,0.7393518518518519,0.16092275601020647,0.8146160461116073,0.36666666666666664,0.5432098765432098,0.27672955974842767,0.35656836461126007
context_len,720,720h(30天),Toto,False,False,30,18.81792436781981,7.458099475547696,36.42158314337334,19.269282583371297,39.671670664486776,10.670787172766174,5.141459751024253,1.883270881709129,0.7754629629629629,0.1490316537298136,1.2574470366281771,0.3422053231939164,0.4326923076923077,0.2830188679245283,0.33681073025335323
