knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,rmae_mean,rmae_std,inference_time_s,inference_time_per_day_s,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
covariates,['load'],+负荷,Theta,False,False,336,25.76539953824864,27.528154546170516,31.858414202058146,33.530417783838374,82.64076873417073,37.30937072709,9.75514417456503,11.021835741457279,0.7648396164021163,0.26345496731280826,1.1355533944772638,1.2151715961714653,0.8437103568509334,5.34,0.016,0.3677062374245473,0.27014042867701404,0.5755905511811024,0.20142759362471888
covariates,['load'],+负荷,RandomForest,False,False,336,31.175800184730313,29.742045126998246,38.22230816231621,37.25913543313499,85.35519091118736,34.28164561937546,14.514952252830941,14.925329460804402,0.17046957671957672,0.20386354949095123,1.3740049197669764,1.5767660184067838,1.2828263282040446,481.18,1.432,0.28673986486486486,0.19590305828043855,0.5346456692913386,0.2864370500097295
covariates,['load'],+负荷,LightGBM,False,False,336,34.816140127005326,42.17284903079064,42.794103275709986,51.43680272074375,85.93634157471062,35.22543190970756,15.503084082913537,20.790778406801294,0.3351934523809524,0.31878506000041545,1.534444907214675,1.6657421783890811,1.5424074433330826,1260.93,3.753,0.27770961145194273,0.18756906077348065,0.5346456692913386,0.26213089276463475
covariates,['load'],+负荷,XGBoost,False,False,336,28.64850469231996,30.483024919755206,35.07923532282042,37.33459558673973,83.00927056188723,33.86935731102414,14.179847570423844,15.246360356719588,0.020833333333333332,0.03418902782693206,1.26261992179738,1.413670806287071,1.030055687439995,508.26,1.513,0.2966417910447761,0.21073558648111332,0.5007874015748032,0.29614229614229615
covariates,['load'],+负荷,TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,184.82,0.55,0.45064805583250245,0.6141304347826086,0.35590551181102364,0.3532246108228317
covariates,['load'],+负荷,Chronos2,True,False,336,17.605835068555354,21.647001389813102,24.24287102468605,31.24620550369916,68.34639722457142,34.49338463938529,5.983476545667382,7.725194236413478,0.7177166005291006,0.18251260527806448,0.7759385118412888,0.791141882311133,0.4016971364280066,45.25,0.135,0.47847314691522413,0.5483214649033571,0.42440944881889764,0.3375841303577754
covariates,['load'],+负荷,Toto,False,False,336,30.484835977487105,39.3234033138508,65.53876393186935,148.53575842967663,79.31756161073652,32.674643055053146,8.082536189632943,9.718821124846475,0.7871197089947091,0.16719971679535456,1.343552189940973,1.3968245978093157,1.537915016471202,556.14,1.655,0.4044089699733942,0.3908890521675239,0.4188976377952756,0.3247232472324723
covariates,['load'],+负荷,Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,13.34,0.04,0.47801147227533464,0.6082725060827251,0.3937007874015748,0.32860998650472334
covariates,"['load', 'temperature']",+负荷+温度,Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.11,0.0,0.2818477084085168,0.18281835205992508,0.6149606299212599,0.12848209209778283
covariates,"['load', 'temperature']",+负荷+温度,SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815793,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.11,0.0,0.3047244094488189,0.3047244094488189,0.3047244094488189,0.20297862118664425
covariates,"['load', 'temperature']",+负荷+温度,ETS,False,False,336,28.88855582315179,35.397773518691395,35.24928569097276,42.98056634110251,94.10163595323138,41.05442184940466,10.75705189315623,15.254770627360505,0.7459077380952381,0.2830516125433704,1.2731996481493633,1.3257543260812963,1.0015589750565264,71.42,0.213,0.3681388817972939,0.2723838307517945,0.5677165354330709,0.2199618563254927
covariates,"['load', 'temperature']",+负荷+温度,Theta,False,False,336,25.76539953824864,27.528154546170516,31.858414202058146,33.530417783838374,82.64076873417073,37.30937072709,9.75514417456503,11.021835741457279,0.7648396164021163,0.26345496731280826,1.1355533944772638,1.2151715961714653,0.8437103568509334,5.48,0.016,0.3677062374245473,0.27014042867701404,0.5755905511811024,0.20142759362471888
covariates,"['load', 'temperature']",+负荷+温度,RandomForest,False,False,336,31.175800184730313,29.742045126998246,38.22230816231621,37.25913543313499,85.35519091118736,34.28164561937546,14.514952252830941,14.925329460804402,0.17046957671957672,0.20386354949095123,1.3740049197669764,1.5767660184067838,1.2828263282040446,486.84,1.449,0.28673986486486486,0.19590305828043855,0.5346456692913386,0.2864370500097295
covariates,"['load', 'temperature']",+负荷+温度,LightGBM,False,False,336,34.816140127005326,42.17284903079064,42.794103275709986,51.43680272074375,85.93634157471062,35.22543190970756,15.503084082913537,20.790778406801294,0.3351934523809524,0.31878506000041545,1.534444907214675,1.6657421783890811,1.5424074433330826,1216.85,3.622,0.27770961145194273,0.18756906077348065,0.5346456692913386,0.26213089276463475
covariates,"['load', 'temperature']",+负荷+温度,XGBoost,False,False,336,28.64850469231996,30.483024919755206,35.07923532282042,37.33459558673973,83.00927056188723,33.86935731102414,14.179847570423844,15.246360356719588,0.020833333333333332,0.03418902782693206,1.26261992179738,1.413670806287071,1.030055687439995,464.25,1.382,0.2966417910447761,0.21073558648111332,0.5007874015748032,0.29614229614229615
covariates,"['load', 'temperature']",+负荷+温度,TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,175.38,0.522,0.45064805583250245,0.6141304347826086,0.35590551181102364,0.3532246108228317
covariates,"['load', 'temperature']",+负荷+温度,Chronos2,True,False,336,18.226036826147713,24.321686616742863,24.971632877803454,33.9499593024253,68.51610689314045,35.16301189745815,6.1339812643962,8.120467839422659,0.7204447751322751,0.1856777154868168,0.8032725421189594,0.8130236219906486,0.4473655981745659,39.77,0.118,0.47931034482758617,0.5295238095238095,0.4377952755905512,0.3290376569037657
covariates,"['load', 'temperature']",+负荷+温度,Toto,False,False,336,29.92153038261013,35.70961258065279,58.978984219182564,85.14014855235023,79.4927736823067,32.71917958220772,7.98320397297757,9.331677614964576,0.7886491402116401,0.16534060326543823,1.3187257330703546,1.3403349013210106,0.9489299552062175,498.48,1.484,0.38611217092712696,0.37453737971872686,0.3984251968503937,0.32972972972972975
covariates,"['load', 'temperature']",+负荷+温度,Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,12.51,0.037,0.47801147227533464,0.6082725060827251,0.3937007874015748,0.32860998650472334
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.1,0.0,0.2818477084085168,0.18281835205992508,0.6149606299212599,0.12848209209778283
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815793,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.1,0.0,0.3047244094488189,0.3047244094488189,0.3047244094488189,0.20297862118664425
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,ETS,False,False,336,28.88855582315179,35.397773518691395,35.24928569097276,42.98056634110251,94.10163595323138,41.05442184940466,10.75705189315623,15.254770627360505,0.7459077380952381,0.2830516125433704,1.2731996481493633,1.3257543260812963,1.0015589750565264,67.21,0.2,0.3681388817972939,0.2723838307517945,0.5677165354330709,0.2199618563254927
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Theta,False,False,336,25.76539953824864,27.528154546170516,31.858414202058146,33.530417783838374,82.64076873417073,37.30937072709,9.75514417456503,11.021835741457279,0.7648396164021163,0.26345496731280826,1.1355533944772638,1.2151715961714653,0.8437103568509334,5.69,0.017,0.3677062374245473,0.27014042867701404,0.5755905511811024,0.20142759362471888
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,RandomForest,False,False,336,31.175800184730313,29.742045126998246,38.22230816231621,37.25913543313499,85.35519091118736,34.28164561937546,14.514952252830941,14.925329460804402,0.17046957671957672,0.20386354949095123,1.3740049197669764,1.5767660184067838,1.2828263282040446,467.5,1.391,0.28673986486486486,0.19590305828043855,0.5346456692913386,0.2864370500097295
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,LightGBM,False,False,336,34.816140127005326,42.17284903079064,42.794103275709986,51.43680272074375,85.93634157471062,35.22543190970756,15.503084082913537,20.790778406801294,0.3351934523809524,0.31878506000041545,1.534444907214675,1.6657421783890811,1.5424074433330826,1241.31,3.694,0.27770961145194273,0.18756906077348065,0.5346456692913386,0.26213089276463475
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,XGBoost,False,False,336,28.64850469231996,30.483024919755206,35.07923532282042,37.33459558673973,83.00927056188723,33.86935731102414,14.179847570423844,15.246360356719588,0.020833333333333332,0.03418902782693206,1.26261992179738,1.413670806287071,1.030055687439995,452.64,1.347,0.2966417910447761,0.21073558648111332,0.5007874015748032,0.29614229614229615
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,151.01,0.449,0.45064805583250245,0.6141304347826086,0.35590551181102364,0.3532246108228317
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Chronos2,True,False,336,17.97389006870311,22.04730113820735,24.710587100077845,32.23011924871864,68.48248361191074,35.209821120535096,6.09755712693959,7.754851375615857,0.7271412037037037,0.18452291594593856,0.7921597275904052,0.8104176041186092,0.4304400095791867,48.96,0.146,0.48412698412698413,0.5501002004008017,0.4322834645669291,0.3191033459700017
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Toto,False,False,336,29.967172989985187,35.00495480875291,61.819169342729246,86.31266723245865,79.23361976138224,32.8460207953738,7.998059563894428,9.302457042394952,0.7870783730158731,0.16815215552306517,1.3207373307426746,1.3817179998016118,1.2720144092014412,443.42,1.32,0.39411536972512584,0.38766184310738766,0.40078740157480314,0.32304838981621986
covariates,"['load', 'temperature', 'wind', 'solar']",+负荷+温度+风光,Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,15.06,0.045,0.47801147227533464,0.6082725060827251,0.3937007874015748,0.32860998650472334
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.1,0.0,0.2830533235938641,0.18347537878787878,0.6190095846645367,0.1277229993120844
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815793,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.1,0.0,0.30670926517571884,0.30670926517571884,0.30670926517571884,0.20305436774587657
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),ETS,False,False,336,28.88855582315179,35.397773518691395,35.24928569097276,42.98056634110251,94.10163595323138,41.05442184940466,10.75705189315623,15.254770627360505,0.7459077380952381,0.2830516125433704,1.2731996481493633,1.3257543260812963,1.0015589750565264,63.97,0.19,0.36723016905071526,0.27227150019282687,0.5638977635782748,0.21978494623655911
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),Theta,False,False,336,25.76539953824864,27.528154546170516,31.858414202058146,33.530417783838374,82.64076873417073,37.30937072709,9.75514417456503,11.021835741457279,0.7648396164021163,0.26345496731280826,1.1355533944772638,1.2151715961714653,0.8437103568509334,4.35,0.013,0.36578474184433596,0.2695948504354411,0.5686900958466453,0.20045558086560367
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),RandomForest,False,False,336,31.175800184730313,29.742045126998246,38.22230816231621,37.25913543313499,85.35519091118736,34.28164561937546,14.514952252830941,14.925329460804402,0.17046957671957672,0.20386354949095123,1.3740049197669764,1.5767660184067838,1.2828263282040446,530.88,1.58,0.2852872090540252,0.19469542407461382,0.5335463258785943,0.28622398414271555
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),LightGBM,False,False,336,34.816140127005326,42.17284903079064,42.794103275709986,51.43680272074375,85.93634157471062,35.22543190970756,15.503084082913537,20.790778406801294,0.3351934523809524,0.31878506000041545,1.534444907214675,1.6657421783890811,1.5424074433330826,1182.8,3.52,0.27534729421521875,0.1859423130775693,0.5303514376996805,0.2603819870334677
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),XGBoost,False,False,336,28.64850469231996,30.483024919755206,35.07923532282042,37.33459558673973,83.00927056188723,33.86935731102414,14.179847570423844,15.246360356719588,0.020833333333333332,0.03418902782693206,1.26261992179738,1.413670806287071,1.030055687439995,464.35,1.382,0.2970014278914802,0.21152542372881356,0.4984025559105431,0.2976919453603391
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,171.46,0.51,0.4477157360406091,0.6142061281337048,0.3522364217252396,0.3519848771266541
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),Chronos2,True,False,336,17.52200020309045,18.204543948979385,24.194953601654902,28.333333587511106,68.65733368261112,34.737851890358534,6.040889130186307,6.832066727404858,0.7346230158730158,0.1951578684722914,0.7722436742777224,0.8198198446733501,0.4378413944389485,69.12,0.206,0.48315602836879434,0.5428286852589641,0.4353035143769968,0.3055780113177041
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),Toto,False,False,336,30.05027584322759,35.000190664291566,60.945953266359126,79.40864757691318,79.09241409954336,32.970857421184164,8.003077557736075,9.202267144065056,0.7876570767195767,0.16784231283819226,1.3243999064752987,1.357244762057557,0.9789758196978028,505.98,1.506,0.38904109589041097,0.3814274750575595,0.39696485623003197,0.3312521678806798
covariates,"['load', 'temperature', 'wind', 'solar', 'henry_hub_usd_per_mmbtu', 'natgas_storage_bcf', 'wti_usd_per_barrel', 'storm_event_count']",+经济(气价/库存/WTI/风暴),Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,11.28,0.034,0.4760975609756098,0.6115288220551378,0.38977635782747605,0.32954936360509113
